,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0,0x15309,CUS_0xaa66,April,,32,841-06-2917,Architect,14995.29,,7,5,28,5,"Auto Loan, Payday Loan, Mortgage Loan, Payday Loan, and Student Loan",39,24,20.85,7.0,Bad,4593.28,29.968713768514853,3 Years and 2 Months,Yes,60.535963716742955,54.73854091370111,Low_spent_Medium_value_payments,278.586245369556,Poor
1,0x8bb6,CUS_0x7d83,January,Dasguptaj,30,227-93-6471,Lawyer,74902.8,6272.9000000000015,8,8,33,9,"Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Auto Loan, Personal Loan, Payday Loan, and Home Equity Loan",17,17,20.13,8.0,Bad,2900.49,28.086005822393822,12 Years and 9 Months,Yes,534.7515340526268,52.25901203477476,High_spent_Large_value_payments,280.27945391259857,Poor
2,0xe016,CUS_0x71aa,January,Nicholasq,22,632-01-7252,Lawyer,20574.71,1813.559166666667,7,9,25,6,"Mortgage Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, and Not Specified",22,22,3.36,6.0,Bad,2592.78,32.525087355662194,12 Years and 1 Months,Yes,88.759974668174,77.89308197841973,Low_spent_Large_value_payments,284.70286002007293,Poor
3,0xbffb,CUS_0x59b6,February,Scuffhamk,53,315-03-3600,Writer,111090.06,9192.505,0,125,11,3,"Payday Loan, Credit-Builder Loan, and Auto Loan",-1,3,11.99,1.0,Good,575.32,25.360742573010093,27 Years and 6 Months,No,149.07965832974702,436.7372848909153,Low_spent_Medium_value_payments,613.4335567793378,Standard
4,0xa96e,CUS_0x36a1,January,Miyoung Kimh,42,286-88-7128,Teacher,19214.965,1730.2470833333334,0,4,11,0,,10,10,4.18,0.0,Good,498.81,37.60026503918185,28 Years and 9 Months,No,0.0,217.7804724472987,!@9#%8,245.2442358860347,Good
5,0x16543,CUS_0xa556,February,Jonathano,-500,304-18-9706,Media_Manager,39859.72,,4,3,1,1,Credit-Builder Loan,7,6,6.16,3.0,_,1281.92,27.210716899402257,,NM,21.15615013569883,42.34693899215396,High_spent_Medium_value_payments,496.76124420548064,Good
6,0x22d3c,CUS_0x9002,March,Nickp,42,540-68-4591,Media_Manager,20851.59,,4,6,18,1,Mortgage Loan,20,15,14.46,5.0,Standard,1195.06,37.65638396653461,16 Years and 3 Months,Yes,39072.0,140.56073545129144,Low_spent_Medium_value_payments,300.3033525845476,Standard
7,0x168ba,CUS_0x373e,January,Valetkevitchv,19,082-32-0540,Entrepreneur,21039.8,1875.3166666666664,4,5,10,0,,5,8,6.19,2.0,Good,8.99,26.36080224857048,23 Years and 11 Months,No,0.0,244.1099547860799,Low_spent_Small_value_payments,233.42171188058674,Poor
8,0x25275,CUS_0xac0d,April,McCoolp,46,535-45-2296,Scientist,15873.84,1114.82,7,6,34,6,"Payday Loan, Not Specified, Debt Consolidation Loan, Not Specified, Student Loan, and Auto Loan",19,,18.38,9.0,Bad,4733.69,25.31538885207752,10 Years and 8 Months,Yes,65.71693367809357,73.7292745629464,High_spent_Small_value_payments,232.03579175896004,Poor
9,0xd2d7,CUS_0x6b9d,June,Victoriat,45,390-39-5965,Doctor,9697.29,861.1075000000002,4,3,9,4,"Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Personal Loan",6,10,12.95,9.0,Standard,530.96,39.72561164518595,8 Years and 6 Months,Yes,28.77453606166113,36.869434440643886,Low_spent_Medium_value_payments,300.46677949769503,Standard
10,0x9c19,CUS_0x361b,August,"Jeremy Wagstaff,n",23,717-69-1968,Musician,42767.89,,1,7,11,1,Student Loan,9,6,2.63,3.0,Good,1413.55,40.448896287344326,26 Years and 6 Months,No,20.338018617921698,29.219024087699648,High_spent_Large_value_payments,532.5420406277119,Standard
11,0x1a54,CUS_0x259a,March,Allison Martelly,25,727-40-9990,Journalist,27865.26,,4,3,6,1,Student Loan,22,18,19.05,5.0,Standard,635.59,23.95474521970577,30 Years and 6 Months,Yes,17.69844332156168,__10000__,High_spent_Medium_value_payments,423.98643370950117,Standard
12,0x1b410,CUS_0x335a,March,Jonathan Spicers,45,807-68-7569,Musician,15599.88,1324.99,6,8,21,6,"Mortgage Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",60,25,20.27,8.0,Bad,4384.6,34.629553156019675,8 Years and 5 Months,Yes,66.73228634614793,86.13200140495708,Low_spent_Medium_value_payments,259.63471224889497,Poor
13,0x25d84,CUS_0x544,March,,28,163-45-1172,Mechanic,17013.29,1326.7741666666668,2,1,10,1,Debt Consolidation Loan,6,-2,16.93,2.0,_,1452.79,27.5136905786532,32 Years and 1 Months,No,13.109662870945856,100.82850548389195,Low_spent_Small_value_payments,308.7392483118289,Good
